timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542785192.654964450,-0.125532,0.0358815,0.110968,-0.216629,0.0134591,0.117106,-1.37324,-0.835176,-0.0986303
1542785192.703714375,-0.130921,0.029386,0.112996,-0.191606,0.00466364,0.10645,-1.43411,-0.811883,0.00714869
1542785192.752859329,-0.140175,0.0295471,0.118175,-0.195841,-0.00128208,0.108673,-1.45912,-0.807332,0.0341759
1542785192.798174958,-0.145139,0.0374437,0.116825,-0.179935,0.0129764,0.0783953,-1.32949,-0.888591,-0.115953
1542785192.850462582,-0.154048,0.0382851,0.119787,-0.146931,0.0176801,0.0257283,-1.28077,-0.951368,-0.111207
1542785192.901688741,-0.119407,0.0141469,0.123657,-0.145387,-0.00159588,0.068831,-1.33318,-0.928179,0.229045
1542785192.949752608,-0.126858,0.0143607,0.127534,-0.169131,0.00534396,0.0978745,-1.26688,-0.931292,0.274589
1542785192.999839719,-0.132146,0.0142241,0.122429,-0.135876,-0.00447304,0.0601387,-1.36025,-0.974487,0.321113
1542785193.051583513,-0.13903,0.0137076,0.125572,-0.142916,-0.0148299,0.0663984,-1.42227,-0.955464,0.37944
1542785193.100357338,-0.139476,0.0191046,0.124613,-0.159795,-0.0102082,0.0759118,-1.40738,-0.966926,0.386829
1542785193.148069814,-0.146312,0.0184054,0.127665,-0.132289,-0.0265018,0.0582161,-1.44439,-1.06333,0.479217
1542785193.201424297,-0.12007,0.00245435,0.121817,-0.0964675,-0.0416978,0.0464965,-1.4374,-1.06838,0.47103
1542785193.255821685,-0.125511,-2.94927e-05,0.124427,-0.106709,-0.0552734,0.0526225,-1.48788,-1.11115,0.479865
1542785193.305839181,-0.120637,0.0019418,0.124959,-0.0829356,-0.0495116,0.0311711,-1.45697,-1.05071,0.51205
1542785193.352194352,-0.123839,-0.000585338,0.125981,-0.0618009,-0.0715265,0.0176202,-1.52487,-1.03952,0.559102
1542785193.398308439,-0.120629,0.00277349,0.128557,-0.0607553,-0.0665918,0.0199291,-1.48709,-0.98036,0.557617
1542785193.450704564,-0.124376,-0.000649129,0.129775,-0.0814496,-0.0594962,0.0251796,-1.49834,-0.993956,0.52622
1542785193.505452148,-0.123871,0.00147537,0.126663,-0.0741332,-0.0593372,0.0084569,-1.53398,-1.00517,0.543755
1542785193.548784108,-0.100565,-0.0110477,0.127181,-0.0632992,-0.0414551,0.0199864,-1.62126,-1.03222,0.409412
